Reference,Protocol,Brand,CameraLensControl,LensMount,ManufacturerURL,Remark,Name,Type,Cable,SupportURL,Message,MaxDelayToComplete,ControlCoverage,Bidirectionnal,Number,Selected,Network,CameraLensCategory,lensControl,lensType,lensMotor,LensTypes
AtomOne,DreamChip Serial,DreamChip,TBD,S-Mount,https://www.atom-one.de,,AtomOne,Minicam Motorizable,CY-CBL-6P-DCHIP-03,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,3,False,LAN Wired,Minicam Motorizable Lens,No Need,Manual,No extra motors,
AtomOne mini,DreamChip Serial,DreamChip,TBD,S-Mount,https://www.atom-one.de,,AtomOne mini,Minicam Motorizable,CY-CBL-6P-DCHIP-03,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,2,False,LAN Wired,Minicam Motorizable Lens,No Need,Manual,No extra motors,
AtomOne mini AIR,DreamChip Serial,DreamChip,TBD,S-Mount,https://www.atom-one.de,,AtomOne mini AIR,Minicam Motorizable,CY-CBL-6P-DCHIP-03,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,0,False,LAN Wired,Minicam Motorizable Lens,No Need,Manual,No extra motors,
AtomOne mini Waterproof,DreamChip Serial,DreamChip,TBD,S-Mount,https://www.atom-one.de,,AtomOne mini Waterproof,Minicam Motorizable,CY-CBL-6P-DCHIP-03,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,0,False,LAN Wired,Minicam Motorizable Lens,No Need,Manual,No extra motors,
AtomOne 4K Mini 7,DreamChip Serial,DreamChip,TBD,S-Mount,https://www.atom-one.de,,AtomOne 4K Mini 7,Minicam Motorizable,CY-CBL-6P-DCHIP-03,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,0,False,LAN Wired,Minicam Motorizable Lens,No Need,Manual,No extra motors,
AtomOne 4K Mini 11,DreamChip Serial,DreamChip,TBD,C-Mount,https://www.atom-one.de,,AtomOne 4K Mini 11,Minicam Motorizable,CY-CBL-6P-DCHIP-03,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,0,False,LAN Wired,Minicam Motorizable Lens,No Need,Manual,No extra motors,
AtomOne 4K Mini 16,DreamChip Serial,DreamChip,TBD,C-Mount,https://www.atom-one.de,,AtomOne 4K Mini 16,Minicam Motorizable,CY-CBL-6P-DCHIP-03,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,0,False,LAN Wired,Minicam Motorizable Lens,No Need,Manual,No extra motors,
AtomOne mini Zoom,DreamChip Serial Motorized,DreamChip,TBD,No-Xchange-Motorized,https://www.atom-one.de,,AtomOne mini Zoom,Minicam IZT,CY-CBL-6P-DCHIP-03,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,0,False,LAN Wired,IZF Integrated,IZF,Camera Integrated,No extra motors,
AtomOne SSM500,Dreamchip SSM,DreamChip,Iris/Zoom/Focus,B4-Mount,https://www.atom-one.de,,AtomOne SSM500,Slow Motion,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/ssm500,,500.0,5.0,,0,False,LAN Wired,Broadcast,No Need,B4-Mount,No extra motors,
AtomOne SSM500 B4,Dreamchip SSM,DreamChip,Iris/Zoom/Focus,C-Mount,https://www.atom-one.de,,AtomOne SSM500 B4,Slow Motion,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/ssm500,,500.0,5.0,,0,False,LAN Wired,Broadcast,No Need,B4-Mount,No extra motors,
AtomOne SSM500-IP,Dreamchip SSM IP,DreamChip,Iris/Zoom/Focus,B4-Mount,https://www.atom-one.de,,AtomOne SSM500-IP,Slow Motion,Ethernet-RJ45,Planned to be documented  202407,,500.0,5.0,,0,False,LAN Wired,Broadcast,No Need,B4-Mount,No extra motors,
AtomOne SSM500-IP B4,Dreamchip SSM IP,DreamChip,Iris/Zoom/Focus,C-Mount,https://www.atom-one.de,,AtomOne SSM500-IP B4,Slow Motion,Ethernet-RJ45,Planned to be documented  202407,,500.0,5.0,,0,False,LAN Wired,Broadcast,No Need,B4-Mount,No extra motors,
Hitachi SK-HD1000,Hitachi SH HD 1xxx,Hitachi,Iris/Zoom/Focus,B4-Mount,https://www.hitachikokusai.us/BroadcastandProfessionalCameras/SK-HD1000.html,,Hitachi SK-HD1000,System,Ethernet-RJ45,Planned to be documented  202407,,500.0,2.0,,0,False,LAN Wired,Broadcast,No Need,B4-Mount,No extra motors,
Hitachi SK-HD1300,Hitachi SH HD 1xxx,Hitachi,Iris/Zoom/Focus,B4-Mount,https://www.hitachikokusai.us/BroadcastandProfessionalCameras/SK-HD1300.html,,Hitachi SK-HD1300,System,Ethernet-RJ45,Planned to be documented  202407,,500.0,2.0,,0,False,LAN Wired,Broadcast,No Need,B4-Mount,No extra motors,
Hitachi SK-HD1500,Hitachi SH HD 1xxx,Hitachi,Iris/Zoom/Focus,B4-Mount,https://www.gravitymedia.com/product/hitachi-sk-hd1500-hd-slow-motion-production-camera/,,Hitachi SK-HD1500,System,Ethernet-RJ45,Planned to be documented  202407,,500.0,2.0,,0,False,LAN Wired,Broadcast,No Need,B4-Mount,No extra motors,
JVC,JVC IP,JVC,Fixed Lens,No-Xchange-Motorized,https://fr.jvc.com/pro/ccr/eng/GY-HM850RE/,,JVC GY-HM850,Handheld Camcorder,JVC USB-to-IP,https://support.cyanview.com/docs/Integrations/JVC/JVCCamcorder,,500.0,2.0,,0,False,LAN Wired,IZF Integrated,IZF,Camera Integrated,No extra motors,
CX350,Panasonic CX350,Panasonic,Fixed Lens,No-Xchange-Motorized,,,AG-CX350,Handheld Camcorder,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/CX350,,500.0,2.0,,0,False,LAN Wired,IZF Integrated,IZF,Camera Integrated,No extra motors,
CX350,Panasonic CX350,Panasonic,Fixed Lens,MFT-Mount,,,CX350,Handheld Camcorder,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/CX350,,500.0,2.0,,0,False,LAN Wired,IZF Integrated,IZF,Camera Integrated,No extra motors,
PXW-FS5,Sony Lanc,Sony,Fixed Lens,E-Mount,https://pro.sony/products/handheld-camcorders/pxw-fs5,,FS5,Handheld Camcorder,CY-CBL-6P-LANC-2,https://support.cyanview.com/docs/Integrations/Sony/SonyLanc,,500.0,1.0,No,0,False,LAN Wired,IZF Integrated,IZF,Camera Integrated,No extra motors,
PXW-FS7,Sony Lanc,Sony,Fixed Lens,E-Mount,https://pro.sony/products/handheld-camcorders/pxw-fx9,,FS7,Handheld Camcorder,CY-CBL-6P-LANC-2,https://support.cyanview.com/docs/Integrations/Sony/SonyLanc,,500.0,1.0,No,0,False,LAN Wired,IZF Integrated,IZF,Camera Integrated,No extra motors,
ILME-FX6,Sony Lanc,Sony,Fixed Lens,E-Mount,https://pro.sony/products/handheld-camcorders/ilme-fx6,,FX6-LANC,Handheld Camcorder,CY-CBL-6P-LANC-2,https://support.cyanview.com/docs/Integrations/Sony/SonyLanc,,500.0,1.0,No,0,False,LAN Wired,IZF Integrated,IZF,Camera Integrated,No extra motors,
SonyLanc,Sony Lanc,Sony,Fixed Lens,B4-Mount,,,LANC,Handheld Camcorder,CY-CBL-6P-LANC-2,https://support.cyanview.com/docs/Integrations/Sony/SonyLanc,,500.0,1.0,No,0,False,LAN Wired,IZF Integrated,IZF,Camera Integrated,No extra motors,
PXW-Z190,Sony Lanc,Sony,Fixed Lens,No-Xchange-Motorized,https://pro.sony/products/handheld-camcorders/pxw-z190#ProductSpecificationsBBlock-pxw-z190,,Z190,Handheld Camcorder,CY-CBL-6P-LANC-2,https://support.cyanview.com/docs/Integrations/Sony/SonyLanc,,500.0,1.0,No,0,False,LAN Wired,IZF Integrated,IZF,Camera Integrated,No extra motors,
Varicam,Panasonic Varicam,Panasonic,Iris/Zoom/Focus,B4-Mount,,,Varicam,Shoulder Camcorder,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/Varicam,,500.0,2.0,,0,False,LAN Wired,Broadcast,No Need,B4-Mount,No extra motors,
AG-HPX500,Panasonic P2,Panasonic,Iris/Zoom/Focus,LNE-Mount,,,AG-HPX500,Shoulder Camcorder,CY-CBL-6P-PAN-10P,https://support.cyanview.com/docs/Integrations/Panasonic/P2,,500.0,2.0,,0,False,LAN Wired,Broadcast,No Need,B4-Mount,No extra motors,
AJ-HPX2700,Panasonic P2,Panasonic,Iris/Zoom/Focus,LNE-Mount,,,AJ-HPX2700,Shoulder Camcorder,CY-CBL-6P-PAN-10P,https://support.cyanview.com/docs/Integrations/Panasonic/P2,,500.0,2.0,,0,False,LAN Wired,Broadcast,No Need,B4-Mount,No extra motors,
AJ-HPX3100,Panasonic P2,Panasonic,Iris/Zoom/Focus,LNE-Mount,,,AJ-HPX3100,Shoulder Camcorder,CY-CBL-6P-PAN-10P,https://support.cyanview.com/docs/Integrations/Panasonic/P2,,500.0,2.0,,0,False,LAN Wired,Broadcast,No Need,B4-Mount,No extra motors,
PX270,Panasonic P2,Panasonic,Iris/Zoom/Focus,LNE-Mount,,,AJ-PX270,Shoulder Camcorder,CY-CBL-6P-PAN-10P,https://support.cyanview.com/docs/Integrations/Panasonic/P2,,500.0,2.0,,0,False,LAN Wired,Broadcast,No Need,B4-Mount,No extra motors,
PX380,Panasonic P2,Panasonic,Iris/Zoom/Focus,LNE-Mount,,,AJ-PX380,Shoulder Camcorder,CY-CBL-6P-PAN-10P,https://support.cyanview.com/docs/Integrations/Panasonic/P2,,500.0,2.0,,0,False,LAN Wired,Broadcast,No Need,B4-Mount,No extra motors,
PX5000,Panasonic P2,Panasonic,Iris/Zoom/Focus,LNE-Mount,,,AJ-PX5000,Shoulder Camcorder,CY-CBL-6P-PAN-10P,https://support.cyanview.com/docs/Integrations/Panasonic/P2,,500.0,2.0,,0,False,LAN Wired,Broadcast,No Need,B4-Mount,No extra motors,
PX800,Panasonic P2,Panasonic,Iris/Zoom/Focus,LNE-Mount,,,AJ-PX800,Shoulder Camcorder,CY-CBL-6P-PAN-10P,https://support.cyanview.com/docs/Integrations/Panasonic/P2,,500.0,2.0,,0,False,LAN Wired,Broadcast,No Need,B4-Mount,No extra motors,
AKUB300,Panasonic P2,Panasonic,Iris/Zoom/Focus,LNE-Mount,,,AK-UB300,Shoulder Camcorder,CY-CBL-6P-PAN-10P,https://support.cyanview.com/docs/Integrations/Panasonic/P2,,500.0,2.0,,0,False,LAN Wired,Broadcast,No Need,B4-Mount,No extra motors,
P2Serial,Panasonic P2,Panasonic,Iris/Zoom/Focus,LNE-Mount,,,P2Serial,Shoulder Camcorder,CY-CBL-6P-PAN-10P,https://support.cyanview.com/docs/Integrations/Panasonic/P2,,500.0,2.0,,0,False,LAN Wired,Broadcast,No Need,B4-Mount,No extra motors,
UC3400,Panasonic UC,Panasonic,Iris/Zoom/Focus,B4-Mount,https://eu.connect.panasonic.com/gb/en/broadcast-proav/studio-cameras/ak-uc3300,,UC3400,Shoulder Camcorder,Ethernet-RJ45,Planned to be documented  202405,UC4000 very well covered,500.0,2.0,,0,False,LAN Wired,Broadcast,No Need,B4-Mount,No extra motors,
UC4000,Panasonic UC,Panasonic,Iris/Zoom/Focus,B4-Mount,https://eu.connect.panasonic.com/be/fr/products/broadcast-proav/ak-uc4000,,UC4000,Shoulder Camcorder,Ethernet-RJ45,Planned to be documented  202405,UC4000 very well covered,500.0,2.0,,0,False,LAN Wired,Broadcast,No Need,B4-Mount,No extra motors,
PDW-700,Sony 8-Pin,Sony,Iris/Zoom/Focus,B4-Mount,https://pro.sony/products/shoulder-camcorders/pdw-700,,PDW-700,Shoulder Camcorder,CY-CBL-SONY-8P-03,https://support.cyanview.com/docs/Integrations/Sony/Sony8Pin,Our solutions offers the same color control than the Sony RCP,500.0,2.0,,0,False,LAN Wired,Broadcast,No Need,B4-Mount,No extra motors,
PDW-F800,Sony 8-Pin,Sony,Iris/Zoom/Focus,B4-Mount,https://pro.sony/ue_US/products/shoulder-camcorders/pdw-f800,"Sony 8-Pin pour CDC, Ethernet pour broadcast (Tally,……)",PDW-800,Shoulder Camcorder,CY-CBL-SONY-8P-03,https://support.cyanview.com/docs/Integrations/Sony/Sony8Pin,Our solutions offers the same color control than the Sony RCP,500.0,2.0,,0,False,LAN Wired,Broadcast,No Need,B4-Mount,No extra motors,
PMW-EX3,Sony 8-Pin,Sony,Iris/Zoom/Focus,No-Xchange-Motorized,https://pro.sony/s3/cms-static-content/operation-manual/3878039151.pdf,"Poor control, no zoom and focus control on that legacy protocol",PMW-EX3,Shoulder Camcorder,CY-CBL-SONY-8P-03,https://support.cyanview.com/docs/Integrations/Sony/Sony8Pin,Our solutions offers the same color control than the Sony RCP,500.0,2.0,,1,False,LAN RF Halow,Broadcast,No Need,B4-Mount,No extra motors,
PXW-X350,Sony 8-Pin,Sony,Iris/Zoom/Focus,No-Xchange-Motorized,https://pro.sony/products/handheld-camcorders/pxw-x350,,PXW-350,Shoulder Camcorder,CY-CBL-SONY-8P-03,https://support.cyanview.com/docs/Integrations/Sony/Sony8Pin,Our solutions offers the same color control than the Sony RCP,500.0,2.0,,0,False,LAN Wired,Broadcast,No Need,B4-Mount,No extra motors,
PXW-X500,Sony 8-Pin,Sony,Iris/Zoom/Focus,B4-Mount,https://pro.sony/products/shoulder-camcorders/pmw-500,"Sony 8-Pin pour CDC, Ethernet pour broadcast (Tally,……)",PXW-500,Shoulder Camcorder,CY-CBL-SONY-8P-03,https://support.cyanview.com/docs/Integrations/Sony/Sony8Pin,Our solutions offers the same color control than the Sony RCP,500.0,2.0,,0,False,LAN Wired,Broadcast,No Need,B4-Mount,No extra motors,
PXW-Z750-Legacy,Sony 8-Pin,Sony,Iris/Zoom/Focus,B4-Mount,https://pro.sony/products/shoulder-camcorders/pxw-z750,,Z750-Legacy,Shoulder Camcorder,CY-CBL-SONY-8P-03,https://support.cyanview.com/docs/Integrations/Sony/Sony8Pin,Our solutions offers the same color control than the Sony RCP,500.0,2.0,,0,False,LAN Wired,Broadcast,No Need,B4-Mount,No extra motors,
